Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"BUZZER","Y0007",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Buzzer",
"Flow Steam","D0000128",Float,1,R/W,100,,,,,,,,,,"Sensor Flow Steam",
"Flow Water","D0000130",Float,1,R/W,100,,,,,,,,,,"Sensor Flow Water",
"Furnace Temp","D0000108",Short,1,R/W,100,,,,,,,,,,"Sensor Temperature Furnace",
"Pressure Water","D0000104",Float,1,R/W,100,,,,,,,,,,"Sensor Pressure Water",
"Quantity Steam","D0000132",Float,1,R/W,100,,,,,,,,,,"Sensor Quantity Steam",
"RUN BLOWDOWN VALVE1","Y0027",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Blowdown Valve 1",
"RUN BLOWDOWN VALVE2","Y0030",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Blowdown Valve 2",
"RUN BLOWDOWN VALVE3","Y0031",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Blowdown Valve 3",
"RUN BLOWDOWN VALVE4","Y0032",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Blowdown Valve 4",
"RUN BLOWDOWN VALVE5","Y0033",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Blowdown Valve 5",
"RUN CHAIN GATE","Y0002",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Chain Gate",
"RUN FDF","Y0001",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON FDF",
"RUN FWP1","Y0003",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON FWP1",
"RUN FWP2","Y0004",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON FWP2",
"RUN IDF","Y0000",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON IDF",
"RUN MUCKING","Y0005",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Mucking Machine",
"RUN SOOT VALVE1","Y0011",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Soot Valve 1",
"RUN SOOT VALVE10","Y0022",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Soot Valve 10",
"RUN SOOT VALVE11","Y0023",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Soot Valve 11",
"RUN SOOT VALVE12","Y0024",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Soot Valve 12",
"RUN SOOT VALVE13","Y0025",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Soot Valve 13",
"RUN SOOT VALVE14","Y0026",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Soot Valve 14",
"RUN SOOT VALVE2","Y0012",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Soot Valve 2",
"RUN SOOT VALVE3","Y0013",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Soot Valve 3",
"RUN SOOT VALVE4","Y0014",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Soot Valve 4",
"RUN SOOT VALVE5","Y0015",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Soot Valve 5",
"RUN SOOT VALVE6","Y0016",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Soot Valve 6",
"RUN SOOT VALVE7","Y0017",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Soot Valve 7",
"RUN SOOT VALVE8","Y0020",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Soot Valve 8",
"RUN SOOT VALVE9","Y0021",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON Soot Valve 9",
"RUN WWP","Y0006",Boolean,1,R/W,100,,,,,,,,,,"Indikator ON WWP",
"Speed Chain Gate","D0000126",Float,1,R/W,100,,,,,,,,,,"Frekuensi Chain Gate",
"Speed FDF","D0000124",Float,1,R/W,100,,,,,,,,,,"Frekuensi FDF",
"Speed IDF","D0000122",Float,1,R/W,100,,,,,,,,,,"Frekuensi IDF",
"Steam Pressure","D0000102",Float,1,R/W,100,,,,,,,,,,"Sensor Pressure Steam",
"Steam Temp","D0000110",Short,1,R/W,100,,,,,,,,,,"Sensor Temperature Steam",
"Temperature Gas Buang","D0000114",Short,1,R/W,100,,,,,,,,,,"Sensor Temperature Gas Buang",
"Temperature Water","D0000112",Short,1,R/W,100,,,,,,,,,,"Sensor Temperature Water",
